table_name,field_name,language,record_id,translation
routes,route_desc,en,43,Day
routes,route_desc_detail,en,43,Day routes only
routes,route_url,en,44,https://www.stm.info/en/info/networks/bus
directions,direction,en,44_0,South
directions,direction,en,44_1,North
routes,route_desc,en,44,Rush-hour high-frequency
routes,route_desc_detail,en,44,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,45,https://www.stm.info/en/info/networks/bus
directions,direction,en,45_0,South
directions,direction,en,45_1,North
routes,route_desc,en,45,Rush-hour high-frequency
routes,route_desc_detail,en,45,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,47,https://www.stm.info/en/info/networks/bus
directions,direction,en,47_0,East
directions,direction,en,47_1,West
routes,route_desc,en,47,Day
routes,route_desc_detail,en,47,Day routes only
routes,route_url,en,48,https://www.stm.info/en/info/networks/bus
directions,direction,en,48_0,East
directions,direction,en,48_1,West
routes,route_desc,en,48,Rush-hour high-frequency
routes,route_desc_detail,en,48,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,49,https://www.stm.info/en/info/networks/bus
directions,direction,en,49_0,East
directions,direction,en,49_1,West
routes,route_desc,en,49,Rush-hour high-frequency
routes,route_desc_detail,en,49,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,50,https://www.stm.info/en/info/networks/bus
directions,direction,en,50_0,East
directions,direction,en,50_1,West
routes,route_desc,en,50,Day
routes,route_desc_detail,en,50,Day routes only
routes,route_url,en,51,https://www.stm.info/en/info/networks/bus
directions,direction,en,51_0,East
directions,direction,en,51_1,West
routes,route_desc,en,51,All-day high-frequency
routes,route_desc_detail,en,51,Departures every 2 to 12 minutes Monday through Friday between 6am and 8pm (in both directions)
routes,route_url,en,52,https://www.stm.info/en/info/networks/bus
directions,direction,en,52_0,West
directions,direction,en,52_1,East
routes,route_desc,en,52,Day
routes,route_desc_detail,en,52,Day routes only
routes,route_url,en,54,https://www.stm.info/en/info/networks/bus
directions,direction,en,54_0,East
directions,direction,en,54_1,West
routes,route_desc,en,54,Day
routes,route_desc_detail,en,54,Day routes only
routes,route_url,en,55,https://www.stm.info/en/info/networks/bus
directions,direction,en,55_0,South
directions,direction,en,55_1,North
routes,route_desc,en,55,Rush-hour high-frequency
routes,route_desc_detail,en,55,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,56,https://www.stm.info/en/info/networks/bus
directions,direction,en,56_0,South
directions,direction,en,56_1,North
routes,route_desc,en,56,Day
routes,route_desc_detail,en,56,Day routes only
routes,route_url,en,57,https://www.stm.info/en/info/networks/bus
directions,direction,en,57_0,South
directions,direction,en,57_1,North
routes,route_desc,en,57,Day
routes,route_desc_detail,en,57,Day routes only
routes,route_url,en,61,https://www.stm.info/en/info/networks/bus
directions,direction,en,61_0,East
directions,direction,en,61_1,West
routes,route_desc,en,61,Day
routes,route_desc_detail,en,61,Day routes only
routes,route_url,en,63,https://www.stm.info/en/info/networks/bus
directions,direction,en,63_0,South
directions,direction,en,63_1,North
routes,route_desc,en,63,Day
routes,route_desc_detail,en,63,Day routes only
routes,route_url,en,64,https://www.stm.info/en/info/networks/bus
directions,direction,en,64_0,South
directions,direction,en,64_1,North
routes,route_desc,en,64,Rush-hour high-frequency
routes,route_desc_detail,en,64,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,66,https://www.stm.info/en/info/networks/bus
directions,direction,en,66_0,South
directions,direction,en,66_1,North
routes,route_desc,en,66,Day
routes,route_desc_detail,en,66,Day routes only
routes,route_url,en,67,https://www.stm.info/en/info/networks/bus
directions,direction,en,67_0,North
directions,direction,en,67_1,South
routes,route_desc,en,67,All-day high-frequency
routes,route_desc_detail,en,67,Departures every 2 to 12 minutes Monday through Friday between 6am and 8pm (in both directions)
routes,route_url,en,68,https://www.stm.info/en/info/networks/bus
directions,direction,en,68_0,East
directions,direction,en,68_1,West
routes,route_desc,en,68,Day
routes,route_desc_detail,en,68,Day routes only
routes,route_url,en,69,https://www.stm.info/en/info/networks/bus
directions,direction,en,69_0,East
directions,direction,en,69_1,West
routes,route_desc,en,69,Rush-hour high-frequency
routes,route_desc_detail,en,69,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,70,https://www.stm.info/en/info/networks/bus
directions,direction,en,70_0,East
directions,direction,en,70_1,West
routes,route_desc,en,70,Day
routes,route_desc_detail,en,70,Day routes only
routes,route_url,en,71,https://www.stm.info/en/info/networks/bus
directions,direction,en,71_0,South
directions,direction,en,71_1,North
routes,route_desc,en,71,Day
routes,route_desc_detail,en,71,Day routes only
routes,route_url,en,72,https://www.stm.info/en/info/networks/bus
directions,direction,en,72_0,East
directions,direction,en,72_1,West
routes,route_desc,en,72,Day
routes,route_desc_detail,en,72,Day routes only
routes,route_url,en,73,https://www.stm.info/en/info/networks/bus
directions,direction,en,73_0,West
directions,direction,en,73_1,East
routes,route_desc,en,73,Day
routes,route_desc_detail,en,73,Day routes only
routes,route_url,en,74,https://www.stm.info/en/info/networks/bus
directions,direction,en,74_0,North
directions,direction,en,74_1,South
routes,route_desc,en,74,Day
routes,route_desc_detail,en,74,Day routes only
routes,route_url,en,79,https://www.stm.info/en/info/networks/bus
directions,direction,en,79_0,East
directions,direction,en,79_1,West
routes,route_desc,en,79,Day
routes,route_desc_detail,en,79,Day routes only
routes,route_url,en,80,https://www.stm.info/en/info/networks/bus
directions,direction,en,80_0,South
directions,direction,en,80_1,North
routes,route_desc,en,80,Rush-hour high-frequency
routes,route_desc_detail,en,80,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,81,https://www.stm.info/en/info/networks/bus
directions,direction,en,81_0,North
directions,direction,en,81_1,South
routes,route_desc,en,81,Day
routes,route_desc_detail,en,81,Day routes only
routes,route_url,en,85,https://www.stm.info/en/info/networks/bus
directions,direction,en,85_0,East
directions,direction,en,85_1,West
routes,route_desc,en,85,Day
routes,route_desc_detail,en,85,Day routes only
routes,route_url,en,86,https://www.stm.info/en/info/networks/bus
directions,direction,en,86_0,East
directions,direction,en,86_1,West
routes,route_desc,en,86,Day
routes,route_desc_detail,en,86,Day routes only
routes,route_url,en,90,https://www.stm.info/en/info/networks/bus
directions,direction,en,90_0,East
directions,direction,en,90_1,West
routes,route_desc,en,90,Rush-hour high-frequency
routes,route_desc_detail,en,90,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,92,https://www.stm.info/en/info/networks/bus
directions,direction,en,92_0,East
directions,direction,en,92_1,West
routes,route_desc,en,92,Day
routes,route_desc_detail,en,92,Day routes only
routes,route_url,en,93,https://www.stm.info/en/info/networks/bus
directions,direction,en,93_0,East
directions,direction,en,93_1,West
routes,route_desc,en,93,Day
routes,route_desc_detail,en,93,Day routes only
routes,route_url,en,94,https://www.stm.info/en/info/networks/bus
directions,direction,en,94_0,South
directions,direction,en,94_1,North
routes,route_desc,en,94,Day
routes,route_desc_detail,en,94,Day routes only
routes,route_url,en,95,https://www.stm.info/en/info/networks/bus
directions,direction,en,95_0,East
directions,direction,en,95_1,West
routes,route_desc,en,95,Day
routes,route_desc_detail,en,95,Day routes only
